country,year,source,cost
Denmark,1991,Concentrated solar power ,NA
Denmark,1991,Hydropower ,NA
Denmark,1991,Onshore wind ,0.1865857
Denmark,1992,Bioenergy ,NA
Denmark,1992,Geothermal ,NA
Denmark,1992,Offshore wind ,NA
Denmark,1992,Solar photovoltaic ,NA
Denmark,1992,Concentrated solar power ,NA
Denmark,1992,Hydropower ,NA
Denmark,1992,Onshore wind ,0.18328875
Denmark,1993,Bioenergy ,NA
Denmark,1993,Geothermal ,NA
Denmark,1993,Offshore wind ,NA
Denmark,1993,Solar photovoltaic ,NA
Denmark,1993,Concentrated solar power ,NA
Denmark,1993,Hydropower ,NA
Denmark,1993,Onshore wind ,0.1841186
Denmark,1995,Bioenergy ,NA
Denmark,1995,Geothermal ,NA
Denmark,1995,Offshore wind ,NA
Denmark,1995,Solar photovoltaic ,NA
Denmark,1995,Concentrated solar power ,NA
Denmark,1995,Hydropower ,NA
Denmark,1995,Onshore wind ,0.15327154
Denmark,1996,Bioenergy ,NA
Denmark,1996,Geothermal ,NA
Denmark,1996,Offshore wind ,NA
Denmark,1996,Solar photovoltaic ,NA
Denmark,1996,Concentrated solar power ,NA
Denmark,1996,Hydropower ,NA
Denmark,1996,Onshore wind ,0.14933795
Denmark,1997,Bioenergy ,NA
Denmark,1997,Geothermal ,NA
Denmark,1997,Offshore wind ,NA
Denmark,1997,Solar photovoltaic ,NA
Denmark,1997,Concentrated solar power ,NA
Denmark,1997,Hydropower ,NA
Denmark,1997,Onshore wind ,0.15341401
Denmark,1998,Bioenergy ,NA
Denmark,1998,Geothermal ,NA
Denmark,1998,Offshore wind ,NA
Denmark,1998,Solar photovoltaic ,NA
Denmark,1998,Concentrated solar power ,NA
Denmark,1998,Hydropower ,NA
Denmark,1998,Onshore wind ,0.15657647
Denmark,1999,Bioenergy ,NA
Denmark,1999,Geothermal ,NA
Denmark,1999,Offshore wind ,NA
Denmark,1999,Solar photovoltaic ,NA
Denmark,1999,Concentrated solar power ,NA
Denmark,1999,Hydropower ,NA
Denmark,1999,Onshore wind ,0.15372644
Denmark,2000,Bioenergy ,NA
Denmark,2000,Geothermal ,NA
Denmark,2000,Offshore wind ,NA
Denmark,2000,Solar photovoltaic ,NA
Denmark,2000,Concentrated solar power ,NA
Denmark,2000,Hydropower ,NA
Denmark,2000,Onshore wind ,0.16735479
Denmark,2001,Bioenergy ,NA
Denmark,2001,Geothermal ,NA
Denmark,2001,Offshore wind ,NA
Denmark,2001,Solar photovoltaic ,NA
Denmark,2001,Concentrated solar power ,NA
Denmark,2001,Hydropower ,NA
Denmark,2001,Onshore wind ,0.16139817
Denmark,2002,Bioenergy ,NA
Denmark,2002,Geothermal ,NA
Denmark,2002,Offshore wind ,NA
Denmark,2002,Solar photovoltaic ,NA
Denmark,2002,Concentrated solar power ,NA
